 item 		||		 fi(frequency) 		||		    Rf 		||		 Fi(cumulative freq.) 
  607		 || 		     2		 || 		0.012844386135680732		 || 		 15057
  612		 || 		     2		 || 		0.012950188327902155		 || 		 15669
  613		 || 		     1		 || 		0.012971348766346438		 || 		 16282
  615		 || 		     1		 || 		0.013013669643235007		 || 		 16897
  636		 || 		     1		 || 		0.013458038850564983		 || 		 17533
  642		 || 		     1		 || 		0.013585001481230692		 || 		 18175
  657		 || 		     1		 || 		0.01390240805789496		 || 		 18832
  660		 || 		     1		 || 		0.013965889373227814		 || 		 19492
  676		 || 		     1		 || 		0.014304456388336367		 || 		 20168
  685		 || 		     1		 || 		0.014494900334334928		 || 		 20853
  687		 || 		     1		 || 		0.014537221211223497		 || 		 21540
  688		 || 		     1		 || 		0.014558381649667782		 || 		 22228
  694		 || 		     1		 || 		0.014685344280333489		 || 		 22922
  702		 || 		     1		 || 		0.014854627787887764		 || 		 23624
  707		 || 		     1		 || 		0.014960429980109187		 || 		 24331
  736		 || 		     1		 || 		0.01557408269499344		 || 		 25067
  738		 || 		     1		 || 		0.01561640357188201		 || 		 25805
  763		 || 		     1		 || 		0.016145414532989122		 || 		 26568
  768		 || 		     1		 || 		0.016251216725210547		 || 		 27336
  775		 || 		     1		 || 		0.01639933979432054		 || 		 28111
  777		 || 		     1		 || 		0.016441660671209106		 || 		 28888
  782		 || 		     1		 || 		0.01654746286343053		 || 		 29670
  784		 || 		     1		 || 		0.016589783740319098		 || 		 30454
  813		 || 		     1		 || 		0.017203436455203353		 || 		 31267
  817		 || 		     1		 || 		0.01728807820898049		 || 		 32084
  820		 || 		     1		 || 		0.017351559524313345		 || 		 32904
  821		 || 		     1		 || 		0.01737271996275763		 || 		 33725
  824		 || 		     1		 || 		0.017436201278090483		 || 		 34549
  832		 || 		     1		 || 		0.01760548478564476		 || 		 35381
  834		 || 		     1		 || 		0.01764780566253333		 || 		 36215
  858		 || 		     1		 || 		0.018155656185196156		 || 		 37073
  878		 || 		     1		 || 		0.01857886495408185		 || 		 37951
  879		 || 		     1		 || 		0.018600025392526132		 || 		 38830
  880		 || 		     1		 || 		0.01862118583097042		 || 		 39710
  923		 || 		     1		 || 		0.019531084684074655		 || 		 40633
  928		 || 		     1		 || 		0.019636886876296077		 || 		 41561
  945		 || 		     1		 || 		0.019996614329848915		 || 		 42506
  976		 || 		     1		 || 		0.020652587921621737		 || 		 43482
  984		 || 		     1		 || 		0.020821871429176013		 || 		 44466
  999		 || 		     1		 || 		0.02113927800584028		 || 		 45465


Median:529
Mid square:299.14013772812234
Moda: (4, 22)
Variance: 89484.822
